"Close","Schliessen"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie unsere Bedingungen, bevor Sie Ihre Bestellung abschliessen."
"Please agree to all Terms and Conditions before placing the orders.","Bitte akzeptieren Sie unsere Bedingungen, bevor Sie Ihre Bestellung abschliessen."
"Please agree to all the terms and conditions before placing the order.","Bitte akzeptieren Sie unsere Bedingungen, bevor Sie Ihre Bestellung abschliessen."
"Please select region, state or province","Bitte wählen Sie Region, Bundesland oder Kanton"
"Proceed to Checkout","zur Kasse gehen"
"Select State/Province...","Kanton/Bundesland auswählen…"
"State/Province","Kanton/Bundesland"
"Street Address","Strasse"
"Street Address %s","Strasse %s"
